instance        n     m       omega_lb source_omega_lb                  omega_ub source_omega_ub     chi_lb source_chi_lb                                                                                                chi_ub source_chi_ub
3-FullIns_3     80    346     5        \cite{Malaguti2011}              NA       NA                  6      \cite{Mendez-Diaz2006,Mendez-Diaz2008,Malaguti2011,Gualandi2012}                                             6      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
3-FullIns_4     405   3524    5        \cite{us}                        NA       NA                  7      \cite{Mendez-Diaz2006}                                                                                       7      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
3-FullIns_5     2030  33751   5        \cite{us}                        NA       NA                  8      \cite{Malaguti2010}                                                                                          8      \cite{Mendez-Diaz2006,Malaguti2010,Malaguti2011,Brelaz1979,Sewell1996,Segundo2012}
3-Insertions_3  56    110     2        \cite{Malaguti2011}              2        \cite{Gualandi2012} 4      \cite{Mendez-Diaz2006,Caramia,Gualandi2012}                                                                  4      \cite{Mendez-Diaz2006,Caramia,Malaguti2011,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
3-Insertions_4  281   1046    2        \cite{Malaguti2011}              NA       NA                  5      \cite{Malaguti2010}                                                                                          5      \cite{Malaguti2010,Mendez-Diaz2006,Malaguti2011,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
3-Insertions_5  1406  9695    2        \cite{Malaguti2011,Held2011}     NA       NA                  6      \cite{Malaguti2010}                                                                                          6      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
4-FullIns_3     114   541     6        \cite{us}                        NA       NA                  7      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012}                                                             7      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
4-FullIns_4     690   6650    6        \cite{us}                        NA       NA                  8      \cite{Malaguti2010}                                                                                          8      \cite{Mendez-Diaz2006,Malaguti2010,Malaguti2011,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
4-FullIns_5     4146  77305   6        \cite{us}                        NA       NA                  9      \cite{Gliesch2021}                                                                                          9      \cite{Mendez-Diaz2006,Malaguti2011,Brelaz1979,Sewell1996,Segundo2012}
4-Insertions_3  79    156     2        \cite{Malaguti2011}              NA       NA                  4      \cite{Malaguti2010}                                                                                          4      \cite{Malaguti2010,Mendez-Diaz2006,Malaguti2011,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
4-Insertions_4  475   1795    2        \cite{Malaguti2011}              NA       NA                  5      \cite{Malaguti2010}                                                                                          5      \cite{Malaguti2010,Mendez-Diaz2006,Malaguti2011,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
5-FullIns_3     154   792     7        \cite{Malaguti2011}              NA       NA                  8      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012}                                                             8      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
5-FullIns_4     1085  11395   7        \cite{us}                        NA       NA                  9      \cite{Malaguti2010}                                                                                          9      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
abb313GPIA      1557  46546   8        \cite{Held2011}                  NA       NA                  9      \cite{Gliesch2021}                                                                 9      \cite{Malaguti2011}
anna            138   493     11       \cite{Gualandi2012}              11       \cite{Gualandi2012} 11     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                11     \cite{Mehrotra1996,Malaguti2011,Wu2013a,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
ash331GPIA      662   4185    3        \cite{Malaguti2011}              3        \cite{Gualandi2012} 4      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012}                                                             4      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
ash608GPIA      1216  7844    3        \cite{Malaguti2011}              NA       NA                  4      \cite{Mendez-Diaz2006,Malaguti2011}                                                                          4      \cite{Mendez-Diaz2006,Malaguti2011,Brelaz1979,Sewell1996,Segundo2012}
ash958GPIA      1916  12506   3        \cite{Malaguti2011}              NA       NA                  4      \cite{Mendez-Diaz2006,Mendez-Diaz2008}                                                                       4      \cite{Malaguti2011,Segundo2012}
C2000.5         2000  999836  16       \cite{Held2011}                  16       \cite{Held2011}     99     \cite{Held2011}                                                                                              145    \cite{Hao2012,Titiloye2012}
C2000.9         2000  NA      NA       NA                               NA       NA                  NA     NA                                                                                                           400    \cite{Titiloye2012}
C4000.5         4000  4000268 18       \cite{us}                        NA       NA                  107    \cite{Held2011}                                                                                              259    \cite{Hao2012,Titiloye2012}
david           87    406     11       \cite{Malaguti2011}              11       \cite{Gualandi2012} 11     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                11     \cite{Mehrotra1996,Malaguti2011,Wu2013a,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
DSJC1000.1      1000  49629   6        \cite{Held2011}                  NA       NA                  9      \cite{Held2011}                                                                                              20     \cite{Galinier1999,BlochligerI.andZufferey2004,Hertz2008,Malaguti2008,Porumbel2010,Malaguti2011,Zhou2018,Galinier1999,Lu2010,Porumbel2010,Lu2010,Titiloye2011,Moalic2015,Wu2013a,Wu2012a,Wu2013}
DSJC1000.5      1000  249826  15       \cite{Tomita2017}                15       \cite{Tomita2017}   73     \cite{Held2011}                                                                                              82     \cite{Moalic2015}
DSJC1000.9      1000  449449  68       \cite{us}                        NA       NA                  216    \cite{Held2011}                                                                                              222    \cite{Moalic2015,Titiloye2011,Wu2012a}
DSJC125.1       125   736     4        \cite{Gualandi2012}              4        \cite{Gualandi2012} 5      \cite{Mendez-Diaz2006,Mendez-Diaz2008,Malaguti2011,Gualandi2012}                                             5      \cite{Zhou2016,Mendez-Diaz2006,Morgenstern1996,FunabikiNobuoandHigashino2000,Malaguti2011,Zhou2018,Wu2013a,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
DSJC125.5       125   3891    10       \cite{us}                        NA       NA                  17     \cite{Malaguti2011}                                                                                          17     \cite{Zhou2016,Morgenstern1996,FunabikiNobuoandHigashino2000,Malaguti2008,Malaguti2011,Zhou2018,Wu2013a,Gualandi2012}
DSJC125.9       125   6961    34       \cite{us}                        NA       NA                  44     \cite{Malaguti2011}                                                                                          44     \cite{Zhou2016,Morgenstern1996,FunabikiNobuoandHigashino2000,Malaguti2008,Malaguti2011,Zhou2018,Wu2013a,Gualandi2012}
DSJC250.1       250   3218    4        \cite{Malaguti2011}              NA       NA                  6      \cite{Malaguti2011}                                                                                          8      \cite{Zhou2016,Morgenstern1996,FunabikiNobuoandHigashino2000,Malaguti2008,Malaguti2011,Zhou2018,Wu2013a}
DSJC250.5       250   15669   12       \cite{Held2011}                  NA       NA                  26     \cite{Held2011,Gualandi2012}                                                                                 28     \cite{Morgenstern1996,Galinier1999,FunabikiNobuoandHigashino2000,Malaguti2008,Malaguti2011,Wu2013a}
DSJC250.9       250   27897   43       \cite{us}                        NA       NA                  72     \cite{Held2011}                                                                                              72     \cite{Gualandi2012,Morgenstern1996,FunabikiNobuoandHigashino2000,Malaguti2008,Malaguti2011,Zhou2018,Wu2013a,Gualandi2012}
DSJC500.1       500   12458   5        \cite{Held2011}                  NA       NA                  9      \cite{Held2011}                                                                                              12     \cite{Morgenstern1996,BlochligerI.andZufferey2004,Hertz2008,FunabikiNobuoandHigashino2000,Malaguti2008,Porumbel2010,Malaguti2011,Wu2013a,Wu2013}
DSJC500.5       500   62624   13       \cite{Held2011,Tomita2017}       13       \cite{Tomita2017}   43     \cite{Held2011}                                                                                              47     \cite{Moalic2015}
DSJC500.9       500   112367  56       \cite{us}                        NA       NA                  123    \cite{Held2011,Gualandi2012,Malaguti2011}                                                                    126    \cite{Hertz2008,Porumbel2010,Zhou2018,Galinier1999,Lu2010,Porumbel2010,Lu2010,Titiloye2011,Moalic2015,Gualandi2012,Wu2013}
DSJR500.1       500   3555    12       \cite{us}                        12       \cite{us}           12     \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012}                                                             12     \cite{Zhou2016,Mendez-Diaz2006,Morgenstern1996,FunabikiNobuoandHigashino2000,Malaguti2008,Malaguti2011,Zhou2018,Gualandi2012,Brelaz1979,Sewell1996,Segundo2012}
DSJR500.1c      500   121275  83       \cite{us}                        NA       NA                  85     \cite{Malaguti2011,Gualandi2012}                                                                             85     \cite{Zhou2016,Morgenstern1996,BlochligerI.andZufferey2004,Hertz2008,FunabikiNobuoandHigashino2000,Malaguti2008,Malaguti2011,Zhou2018,Caramia2008,Blochliger2008,Porumbel2010,Lu2010,Titiloye2011,Moalic2015,Gualandi2012,Segundo2012,Wu2013}
DSJR500.5       500   58862   122      \cite{us}                        NA       NA                  122    \cite{Malaguti2010,Malaguti2011,Gualandi2012}                                                                122    \cite{FunabikiNobuoandHigashino2000,Malaguti2008,Malaguti2011,Porumbel2010,Lu2010,Titiloye2011,Gualandi2012}
flat1000_50_0   1000  245000  15       \cite{us}                        14       \cite{Held2011}     50     \cite{Malaguti2010,Held2011}                                                                                 50     \cite{Morgenstern1996,BlochligerI.andZufferey2004,Hertz2008,FunabikiNobuoandHigashino2000,Malaguti2008,Gualandi2012,Wu2013a,Wu2013}
flat1000_60_0   1000  245830  15       \cite{us}                        14       \cite{Held2011}     60     \cite{Malaguti2010,Held2011}                                                                                 60     \cite{Morgenstern1996,BlochligerI.andZufferey2004,Hertz2008,FunabikiNobuoandHigashino2000,Malaguti2008,Gualandi2012,Wu2013a,Wu2013}
flat1000_76_0   1000  246708  15       \cite{us}                        14       \cite{Held2011}     76     \cite{Culberson}                                                                                             76     \cite{Culberson}
flat300_20_0    300   21375   8        \cite{us}                        NA       NA                  20     \cite{Malaguti2010,Gualandi2012}                                                                             20     \cite{Zhou2016,Morgenstern1996,BlochligerI.andZufferey2004,FunabikiNobuoandHigashino2000,Malaguti2008,Zhou2018,Wu2013a,Gualandi2012}
flat300_26_0    300   21633   11       \cite{us}                        NA       NA                  26     \cite{Malaguti2010,Gualandi2012}                                                                             26     \cite{Zhou2016,Morgenstern1996,BlochligerI.andZufferey2004,FunabikiNobuoandHigashino2000,Malaguti2008,Zhou2018,Lu2010,Lu2010,Wu2013a,Gualandi2012}
flat300_28_0    300   21695   12       \cite{us}                        NA       NA                  28     \cite{Malaguti2010,Gualandi2012}                                                                             28     \cite{Morgenstern1996,BlochligerI.andZufferey2004,Hertz2008,Blochliger2008,Wu2013a,Gualandi2012}
fpsol2.i.2      451   8691    30       \cite{Gualandi2012}              30       \cite{Gualandi2012} 30     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                30     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
fpsol2.i.3      425   8688    30       \cite{Gualandi2012}              30       \cite{Gualandi2012} 30     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                30     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
fpsol2.i.1      496   11654   65       \cite{Gualandi2012}              65       \cite{Gualandi2012} 65     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                65     \cite{Mehrotra1996,Malaguti2011,Wu2013a,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
games120        120   638     9        \cite{Malaguti2011,Gualandi2012} 9        \cite{Gualandi2012} 9      \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                9      \cite{Mehrotra1996,Malaguti2011,Wu2013a,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
homer           561   1629    13       \cite{Gualandi2012}              13       \cite{Gualandi2012} 13     \cite{Mehrotra1996,Malaguti2011,Gualandi2012}                                                                13     \cite{Mehrotra1996,Malaguti2011,Gualandi2012}
huck            74    301     11       \cite{Malaguti2011,Gualandi2012} 11       \cite{Gualandi2012} 11     \cite{Mehrotra1996,Gualandi2012,Malaguti2011,Mendez-Diaz2006}                                                11     \cite{Mehrotra1996,Gualandi2012,Malaguti2011,Wu2013a,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
inithx.i.1      864   18707   54       \cite{Gualandi2012}              54       \cite{Gualandi2012} 54     \cite{Mehrotra1996,Gualandi2012,Malaguti2011,Mendez-Diaz2006}                                                54     \cite{Mehrotra1996,Malaguti2011,Wu2013a,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
inithx.i.2      645   13979   31       \cite{Gualandi2012}              31       \cite{Gualandi2012} 31     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                31     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
inithx.i.3      621   13969   31       \cite{Gualandi2012}              31       \cite{Gualandi2012} 31     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                31     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
jean            80    254     10       \cite{Malaguti2011,Gualandi2012} 10       \cite{Gualandi2012} 10     \cite{Mehrotra1996,Malaguti2011,Mendez-Diaz2006}                                                             10     \cite{Mehrotra1996,Malaguti2011,Wu2013a,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
latin_square_10 900   307350  90       \cite{Held2011,Malaguti2011}     NA       NA                  90     \cite{Mendez-Diaz2006,Held2011,Malaguti2011}                                                                 97     \cite{Titiloye2011b}
le450_15a       450   8168    15       \cite{Malaguti2011}              NA       NA                  15     \cite{Mendez-Diaz2006,Malaguti2011}                                                                          15     \cite{Zhou2016,Morgenstern1996,FunabikiNobuoandHigashino2000,Malaguti2008,Malaguti2011,Zhou2018,Wu2013a}
le450_15b       450   8169    15       \cite{Malaguti2011}              NA       NA                  15     \cite{Mendez-Diaz2006,Malaguti2011,Mendez-Diaz2006}                                                          15     \cite{Zhou2016,Morgenstern1996,FunabikiNobuoandHigashino2000,Malaguti2008,Malaguti2011,Zhou2018,Wu2013a,Mendez-Diaz2006}
le450_15c       450   16680   15       \cite{Malaguti2011}              NA       NA                  15     \cite{Mendez-Diaz2006,Malaguti2011}                                                                          15     \cite{Zhou2016,Morgenstern1996,Galinier1999,BlochligerI.andZufferey2004,Hertz2008,FunabikiNobuoandHigashino2000,Malaguti2008,Malaguti2011,Zhou2018,Blochliger2008,Galinier1999,Lu2010,Lu2010,Titiloye2011,Wu2013a,Wu2013}
le450_15d       450   16750   15       \cite{Malaguti2011}              NA       NA                  15     \cite{Mendez-Diaz2006,Malaguti2011}                                                                          15     \cite{Zhou2016,Morgenstern1996,Galinier1999,BlochligerI.andZufferey2004,Hertz2008,FunabikiNobuoandHigashino2000,Malaguti2008,Malaguti2011,Zhou2018,Blochliger2008,Galinier1999,Lu2010,Lu2010,Titiloye2011,Wu2013a,Wu2013}
le450_25a       450   8260    25       \cite{Malaguti2011,Gualandi2012} 25       \cite{Gualandi2012} 25     \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                             25     \cite{Malaguti2010,Malaguti2011,Zhou2018,Wu2013a,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
le450_25b       450   8263    25       \cite{Malaguti2011,Gualandi2012} 25       \cite{Gualandi2012} 25     \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                             25     \cite{Zhou2016,Malaguti2010,Malaguti2011,Zhou2018,Wu2013a,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
le450_25c       450   17343   25       \cite{Malaguti2011}              NA       NA                  25     \cite{Mendez-Diaz2006,Malaguti2011}                                                                          25     \cite{Morgenstern1996,BlochligerI.andZufferey2004,Hertz2008,Malaguti2008,Malaguti2011,Zhou2018,Porumbel2010,Lu2010,Titiloye2011,Wu2013a,Wu2013}
le450_25d       450   17425   25       \cite{Malaguti2011}              NA       NA                  25     \cite{Mendez-Diaz2006,Malaguti2011}                                                                          25     \cite{Morgenstern1996,BlochligerI.andZufferey2004,Hertz2008,Malaguti2008,Malaguti2011,Zhou2018,Porumbel2010,Lu2010,Titiloye2011,Wu2013a,Wu2013}
le450_5a        450   5714    5        \cite{Malaguti2011,Gualandi2012} 5        \cite{Gualandi2012} 5      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012}                                                             5      \cite{Malaguti2010,Malaguti2011,Gualandi2012}
le450_5b        450   5734    5        \cite{Malaguti2011,Gualandi2012} 5        \cite{Gualandi2012} 5      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012}                                                             5      \cite{Malaguti2010,Malaguti2011,Gualandi2012}
le450_5c        450   9803    5        \cite{Malaguti2011}              NA       NA                  5      \cite{Mendez-Diaz2006,Malaguti2011}                                                                          5      \cite{Malaguti2010,Malaguti2011,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
le450_5d        450   9757    5        \cite{Malaguti2011}              NA       NA                  5      \cite{Mendez-Diaz2006,Malaguti2011}                                                                          5      \cite{Malaguti2010,Malaguti2011,Brelaz1979,Segundo2012}
miles1000       128   3216    42       \cite{Malaguti2011,Gualandi2012} 42       \cite{Gualandi2012} 42     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                42     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012,Zhou2016}
miles1500       128   5198    73       \cite{Malaguti2011,Gualandi2012} 73       \cite{Gualandi2012} 73     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                73     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012,Zhou2016}
miles250        128   387     8        \cite{Gualandi2012}              8        \cite{Gualandi2012} 8      \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                8      \cite{Zhou2016,Mehrotra1996,Gualandi2012,Malaguti2011,Wu2013a,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
miles500        128   1170    20       \cite{Gualandi2012}              20       \cite{Gualandi2012} 20     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                20     \cite{Mehrotra1996,Malaguti2011,Wu2013a,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012,Zhou2016}
miles750        128   2113    31       \cite{Malaguti2011,Gualandi2012} 31       \cite{Gualandi2012} 31     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                31     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012,Zhou2016}
mug100_1        100   166     3        \cite{Malaguti2011}              NA       NA                  4      \cite{Mendez-Diaz2006,Malaguti2011}                                                                          4      \cite{Malaguti2011,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
mug100_25       100   166     3        \cite{Malaguti2011}              NA       NA                  4      \cite{Mendez-Diaz2006,Malaguti2011}                                                                          4      \cite{Malaguti2011,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
mug88_1         88    146     3        \cite{Malaguti2011,Gualandi2012} 3        \cite{Gualandi2012} 4      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012}                                                             4      \cite{Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
mug88_25        88    146     3        \cite{Malaguti2011,Gualandi2012} 3        \cite{Gualandi2012} 4      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012}                                                             4      \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
mulsol.i.1      197   3925    49       \cite{Malaguti2011,Gualandi2012} 49       \cite{Gualandi2012} 49     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                49     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
mulsol.i.2      188   3885    31       \cite{Gualandi2012}              31       \cite{Gualandi2012} 31     \cite{Mehrotra1996,Gualandi2012,Malaguti2011,Mendez-Diaz2006}                                                31     \cite{Mehrotra1996,Gualandi2012,Malaguti2011,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
mulsol.i.3      184   3916    31       \cite{Malaguti2011,Gualandi2012} 31       \cite{Gualandi2012} 31     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                31     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
mulsol.i.4      185   3946    31       \cite{Malaguti2011,Gualandi2012} 31       \cite{Gualandi2012} 31     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                31     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
mulsol.i.5      185   3973    31       \cite{Gualandi2012}              31       \cite{Gualandi2012} 31     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                31     \cite{Mehrotra1996,Malaguti2011,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}
myciel2         5     5       2        \cite{Malaguti2011}              NA       NA                  3      \cite{Mehrotra1996}                                                                                          3      \cite{Mehrotra1996}
myciel3         11    23      2        \cite{Malaguti2011,Gualandi2012} 2        \cite{Gualandi2012} 4      \cite{Mehrotra1996,Gualandi2012}                                                                             4      \cite{Mehrotra1996,Wu2013a,Gualandi2012,Zhou2016}
myciel4         20    71      2        \cite{Malaguti2011}              2        \cite{Gualandi2012} 5      \cite{Mehrotra1996,Gualandi2012}                                                                             5      \cite{Mehrotra1996,Wu2013a,Gualandi2012,Zhou2016}
myciel5         47    236     2        \cite{Malaguti2011}              2        \cite{Gualandi2012} 6      \cite{Mehrotra1996,Gualandi2012}                                                                             6      \cite{Mehrotra1996,Wu2013a,Gualandi2012,Zhou2016}
myciel6         95    755     2        \cite{Malaguti2011}              NA       NA                  7      \cite{Malaguti2010,Malaguti2011}                                                                             7      \cite{Malaguti2010,Malaguti2011,Wu2013a,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012,Zhou2016}
myciel7         191   2360    2        \cite{Malaguti2011}              NA       NA                  8      \cite{Malaguti2010,Malaguti2011}                                                                             8      \cite{Malaguti2010,Malaguti2011,Wu2013a,Gualandi2012,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012,Zhou2016}
qg.order100     10000 990000  100      \cite{us}                        NA       NA                  100    \cite{Gomes2002}                                                                                             100    \cite{Gomes2002}
qg.order30      900   26100   30       \cite{Malaguti2011,Gualandi2012} 30       \cite{Gualandi2012} 30     \cite{Mendez-Diaz2006,Malaguti2011,Gualandi2012}                                                             30     \cite{Mendez-Diaz2006,Malaguti2011,Wu2013a,Gualandi2012,Brelaz1979,Segundo2012,Sewell1996}
qg.order40      1600  62400   40       \cite{Malaguti2011}              NA       NA                  40     \cite{Malaguti2010,Mendez-Diaz2006,Malaguti2011}                                                             40     \cite{Malaguti2010,Malaguti2011,Wu2013a,Segundo2012,Sewell1996}
qg.order60      3600  212400  60       \cite{Malaguti2011}              NA       NA                  60     \cite{Malaguti2010,Mendez-Diaz2006,Malaguti2011}                                                             60     \cite{Malaguti2010,Malaguti2011,Wu2013a,Sewell1996}
queen10_10      100   2940    10       \cite{Malaguti2011}              NA       NA                  11     \cite{Malaguti2010,Malaguti2011}                                                                             11     \cite{Malaguti2010,Malaguti2011,Gualandi2012,Zhou2016}
queen11_11      121   3960    11       \cite{Malaguti2011}              NA       NA                  11     \cite{Malaguti2010,Malaguti2011,Gualandi2012,Mendez-Diaz2006}                                                11     \cite{Malaguti2010,Malaguti2011,Gualandi2012}
queen12_12      144   5192    12       \cite{Malaguti2011}              NA       NA                  12     \cite{Malaguti2010,Malaguti2011,Mendez-Diaz2006}                                                             12     \cite{Malaguti2010,Malaguti2011}
queen13_13      169   6656    13       \cite{Malaguti2011}              NA       NA                  13     \cite{Malaguti2010,Malaguti2011,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}                           13     \cite{Malaguti2010,Malaguti2011}
queen14_14      196   8372    14       \cite{Malaguti2011}              NA       NA                  14     \cite{Malaguti2010,Malaguti2011,Mendez-Diaz2006,Brelaz1979,Sewell1996,Segundo2012}                           14     \cite{Malaguti2010,Malaguti2011}
